2026-02-17 02:06:23 configure ncurses-base:all 6.4+20240113-1ubuntu2 <none>
2026-02-17 02:06:23 status unpacked ncurses-base:all 6.4+20240113-1ubuntu2
2026-02-17 02:06:23 status half-configured ncurses-base:all 6.4+20240113-1ubuntu2
2026-02-17 02:06:23 status installed ncurses-base:all 6.4+20240113-1ubuntu2
2026-02-17 02:06:23 configure init-system-helpers:all 1.66ubuntu1 <none>
2026-02-17 02:06:23 status unpacked init-system-helpers:all 1.66ubuntu1
2026-02-17 02:06:23 status half-configured init-system-helpers:all 1.66ubuntu1
2026-02-17 02:06:23 status installed init-system-helpers:all 1.66ubuntu1
2026-02-17 02:06:23 configure sensible-utils:all 0.0.22 <none>
2026-02-17 02:06:23 status unpacked sensible-utils:all 0.0.22
2026-02-17 02:06:23 status half-configured sensible-utils:all 0.0.22
2026-02-17 02:06:24 status installed sensible-utils:all 0.0.22
2026-02-17 02:06:24 configure libgcc-s1:arm64 14-20240412-0ubuntu1 <none>
2026-02-17 02:06:24 status unpacked libgcc-s1:arm64 14-20240412-0ubuntu1
2026-02-17 02:06:24 status half-configured libgcc-s1:arm64 14-20240412-0ubuntu1
2026-02-17 02:06:24 status installed libgcc-s1:arm64 14-20240412-0ubuntu1
2026-02-17 02:06:24 configure libc6:arm64 2.39-0ubuntu8 <none>
2026-02-17 02:06:24 status unpacked libc6:arm64 2.39-0ubuntu8
2026-02-17 02:06:24 status half-configured libc6:arm64 2.39-0ubuntu8
2026-02-17 02:06:24 status installed libc6:arm64 2.39-0ubuntu8
2026-02-17 02:06:24 configure libmd0:arm64 1.1.0-2build1 <none>
2026-02-17 02:06:24 status unpacked libmd0:arm64 1.1.0-2build1
2026-02-17 02:06:24 status half-configured libmd0:arm64 1.1.0-2build1
2026-02-17 02:06:24 status installed libmd0:arm64 1.1.0-2build1
2026-02-17 02:06:24 configure libattr1:arm64 1:2.5.2-1build1 <none>
2026-02-17 02:06:24 status unpacked libattr1:arm64 1:2.5.2-1build1
2026-02-17 02:06:24 status half-configured libattr1:arm64 1:2.5.2-1build1
2026-02-17 02:06:24 status installed libattr1:arm64 1:2.5.2-1build1
2026-02-17 02:06:24 configure sysvinit-utils:arm64 3.08-6ubuntu3 <none>
2026-02-17 02:06:24 status unpacked sysvinit-utils:arm64 3.08-6ubuntu3
2026-02-17 02:06:24 status half-configured sysvinit-utils:arm64 3.08-6ubuntu3
2026-02-17 02:06:24 status installed sysvinit-utils:arm64 3.08-6ubuntu3
2026-02-17 02:06:24 configure libext2fs2t64:arm64 1.47.0-2.4~exp1ubuntu4 <none>
2026-02-17 02:06:24 status unpacked libext2fs2t64:arm64 1.47.0-2.4~exp1ubuntu4
2026-02-17 02:06:24 status half-configured libext2fs2t64:arm64 1.47.0-2.4~exp1ubuntu4
2026-02-17 02:06:24 status installed libext2fs2t64:arm64 1.47.0-2.4~exp1ubuntu4
2026-02-17 02:06:24 configure debianutils:arm64 5.17build1 <none>
2026-02-17 02:06:24 status unpacked debianutils:arm64 5.17build1
2026-02-17 02:06:24 status half-configured debianutils:arm64 5.17build1
2026-02-17 02:06:24 status installed debianutils:arm64 5.17build1
2026-02-17 02:06:24 configure mawk:arm64 1.3.4.20240123-1build1 <none>
2026-02-17 02:06:24 status unpacked mawk:arm64 1.3.4.20240123-1build1
2026-02-17 02:06:24 status half-configured mawk:arm64 1.3.4.20240123-1build1
2026-02-17 02:06:24 status installed mawk:arm64 1.3.4.20240123-1build1
2026-02-17 02:06:24 configure libdebconfclient0:arm64 0.271ubuntu3 <none>
2026-02-17 02:06:24 status unpacked libdebconfclient0:arm64 0.271ubuntu3
2026-02-17 02:06:24 status half-configured libdebconfclient0:arm64 0.271ubuntu3
2026-02-17 02:06:24 status installed libdebconfclient0:arm64 0.271ubuntu3
2026-02-17 02:06:24 configure libbz2-1.0:arm64 1.0.8-5.1 <none>
2026-02-17 02:06:24 status unpacked libbz2-1.0:arm64 1.0.8-5.1
2026-02-17 02:06:24 status half-configured libbz2-1.0:arm64 1.0.8-5.1
2026-02-17 02:06:24 status installed libbz2-1.0:arm64 1.0.8-5.1
2026-02-17 02:06:24 configure libblkid1:arm64 2.39.3-9ubuntu6 <none>
2026-02-17 02:06:24 status unpacked libblkid1:arm64 2.39.3-9ubuntu6
2026-02-17 02:06:24 status half-configured libblkid1:arm64 2.39.3-9ubuntu6
2026-02-17 02:06:24 status installed libblkid1:arm64 2.39.3-9ubuntu6
